Game Date,Game Time,Elapsed Time,Reason,Score,Accuracy,Asteroids Hit
2024-06-07,10:39:11,21.2,Player Quit,1656,0.8,17
2024-06-07,10:40:28,26.3,Spacecraft Health 0,2126,0.59,22
2024-06-07,10:43:18,47.03,Player Quit,2244,0.82,23
2024-06-07,11:40:40,23.59,Player Quit,1466,0.88,15
2024-06-07,11:41:31,29.39,Spacecraft Health 0,0,0,0
2024-06-07,18:18:40,42.31,Spacecraft Health 0,776,0.67,8
2024-06-07,18:19:53,36.33,Player Quit,1556,0.73,16
2024-06-10,14:47:38,38.8,Player Quit,1666,1.0,17
2024-06-11,11:57:45,53.05,Spacecraft Health 0,1558,0.76,16
2024-06-11,12:02:32,27.11,Player Quit,2430,0.31,26
2024-06-11,12:03:15,30.53,Spacecraft Fuel 0,3596,0.37,38
2024-06-11,12:18:34,48.69,Player Quit,2014,0.49,21
2024-06-12,09:26:07,56.79,Spacecraft Fuel 0,2234,0.7,23
2024-06-12,09:28:22,41.91,Spacecraft Health 0,2712,0.64,28
2024-06-12,09:46:46,46.15,Spacecraft Fuel 0,3000,0.62,31
2024-06-15,12:48:18,57.81,Spacecraft Health 0,2720,0.7,28
2024-06-15,12:49:27,73.02,Spacecraft Health 0,3426,0.41,36
2024-06-15,12:51:10,43.53,Spacecraft Health 0,1832,0.56,19
2024-06-15,12:53:56,35.92,Spacecraft Fuel 0,3632,0.45,38
2024-06-15,12:54:39,125.73,Spacecraft Fuel 0,4452,0.62,46
2024-06-15,13:02:18,60.16,Spacecraft Health 0,1850,0.76,19
2024-06-15,13:03:25,93.66,Spacecraft Health 0,3982,0.69,41
2024-06-15,13:10:03,62.07,Spacecraft Fuel 0,3086,0.56,32
2024-06-15,13:13:05,43.05,Spacecraft Fuel 0,3658,0.54,38
2024-06-15,13:14:09,58.75,Spacecraft Fuel 0,2710,0.62,28
2024-06-15,13:16:01,45.8,Spacecraft Fuel 0,3532,0.44,37
2024-06-15,13:17:14,122.71,Spacecraft Fuel 0,6540,0.52,68
2024-06-15,13:20:12,151.56,Spacecraft Health 0,5396,0.55,56
2024-06-16,11:38:37,88.3,Spacecraft Health 0,1850,0.76,19
2024-06-22,19:30:19,91.95,Spacecraft Fuel 0,3918,0.45,41
2024-06-30,13:50:51,61.28,Spacecraft Fuel 0,4306,0.46,45
2024-06-30,13:53:45,53.66,Spacecraft Fuel 0,3642,0.48,38
2024-06-30,20:04:01,207.81,Spacecraft Health 0,10130,0.25,110
2024-07-03,13:13:15,134.24,Spacecraft Health 0,4480,0.77,46
2024-07-03,20:23:05,86.17,Spacecraft Health 0,6910,0.75,49
2024-07-03,20:26:13,210.40,Spacecraft Health 0,17630,0.77,181
2024-07-03,20:30:23,90,Spacecraft Health 0,12626,0.55,131
2024-07-03,20:35:29,35.77,Player Quit,7078,0.46,74
2024-07-03,20:40:38,99.14,Spacecraft Fuel 0,9484,0.28,102
2024-07-03,22:44:43,102.34,Spacecraft Health 0,5880,0.39,62
2024-07-03,22:47:33,57.12,Spacecraft Health 0,2646,0.36,28
2024-06-10,23:36:42,4.38,Player Quit,98,1.0,1
2024-06-11,02:08:44,22.63,Spacecraft Fuel 0,1814,0.44,19
2024-06-11,10:06:29,57.01,Player Quit,1920,0.5,20
2024-06-11,10:10:06,29.6,Player Quit,1160,0.6,12
2024-06-11,10:12:01,71.32,Spacecraft Health 0,3992,0.18,45
2024-06-11,10:17:01,54.78,Player Quit,2008,0.46,21
2024-06-11,10:18:24,11.18,Spacecraft Fuel 0,1144,0.43,12
2024-06-11,10:18:44,36.96,Player Quit,2314,0.56,24
2024-06-11,10:19:56,51.73,Player Quit,3922,0.3,42
2024-06-11,10:52:48,58.29,Spacecraft Health 0,3494,0.36,37
2024-06-11,10:53:54,47.08,Spacecraft Fuel 0,2558,0.38,27
2024-06-11,11:01:17,70.75,Spacecraft Health 0,3980,0.38,42
2024-06-11,11:03:41,38.61,Spacecraft Health 0,1454,0.65,15
2024-06-11,11:06:06,58.82,Spacecraft Fuel 0,2056,0.95,21
2024-06-11,11:19:56,43.9,Player Quit,3224,0.39,34
2024-06-11,11:22:30,18.91,Player Quit,766,0.47,8
2024-06-11,23:32:47,60.22,Spacecraft Fuel 0,3474,0.33,37
2024-06-15,14:41:57,82.18,Spacecraft Health 0,3268,0.52,34
2024-06-15,14:44:30,8.21,Player Quit,192,0.5,2
2024-06-15,14:44:45,74.5,Spacecraft Fuel 0,2506,0.55,26
2024-06-15,14:46:55,58.15,Spacecraft Fuel 0,2514,0.6,26
2024-06-15,14:52:05,48.5,Spacecraft Health 0,1748,0.69,18
2024-06-16,17:49:07,18.56,Player Quit,668,0.44,7
2024-06-16,17:51:46,92.18,Spacecraft Fuel 0,5860,0.29,63
2024-06-16,17:55:24,95.98,Player Quit,8270,0.25,90
2024-06-16,17:59:43,87.23,Spacecraft Health 0,4590,0.32,49
2024-06-14,20:02:14,47.44,Spacecraft Health 0,1068,0.69,11
2024-06-30,13:53:57,41.56,Player Quit,1760,0.9,18
2024-07-01,20:11:11,40.54,Spacecraft Health 0,676,0.58,7
2024-07-04,08:08:39,21.95,Spacecraft Health 0,976,0.83,10
2024-07-04,08:09:15,35.47,Spacecraft Health 0,960,0.5,10
2024-07-04,08:10:11,47.57,Spacecraft Health 0,2046,0.78,21
